Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,http://www.sciencekids.co.nz/images/pictures/flags96/Angola.jpg,526,509,536.3972603,646.2328767,708.784153,713.8082192,735.0821918,744.9178082,746.4043716,742.3835616,896.369863,902.5479452,1051.721311,1239.126027,1398.013699,1723.523745,1950.694508,1876.808219,1908.520548,1755.616438,1787.04918,1802.657534,1741.6164379999998,1801.863014,1769.614754,1665.7452050000002,1593.0410960000002
Algeria,http://www.sciencekids.co.nz/images/pictures/flags96/Algeria.jpg,1202,1167,1155,1161.794521,1227.144809,1258.739726,1226.410959,1177.30137,1213.907104,1265,1349,1516.041096,1581.775956,1692.315068,1699.068493,1708.39726,1705,1584.876712,1540,1540,1532.2431689999999,1461.7808220000002,1420.0,1429.0,1348.360656,1305.632877,1258.657534
Venezuela,http://www.sciencekids.co.nz/images/pictures/flags96/Venezuela.jpg,2371,2450,2588.010959,2750.136986,2937.961749,3279.953425,3167.013699,2825.646575,3155,3010,2603.945205,2335.191781,2556.939891,2564.657534,2510.547945,2490.30137,2510,2520,2410,2500,2500.0,2500.0,2500.0,2500.0,2276.967213,2007.30137,1483.841096
U.K.,http://www.sciencekids.co.nz/images/pictures/flags96/United_Kingdom.jpg,1986,2084,2592.671233,2755.764384,2827.038251,2750.846575,2856.345205,2922.164384,2507.757197,2540.704027,2503.279178,2334.56663,2017.659492,1805.985425,1637.491619,1636.419836,1535.413617,1451.907871,1354.201926,1111.115562,954.1847022,879.0979836000001,870.5044575,969.9854932,1031.921369,1018.742342,1109.54943
Libya,http://www.sciencekids.co.nz/images/pictures/flags96/Libya.jpg,1433,1361,1377.589041,1390,1400.846995,1445.917808,1390.178082,1318.958904,1410.027322,1366.547945,1318.520548,1420.520548,1515.218579,1651.109589,1736.041096,1786.808219,1802.833333,1696.109589,1710,485.3972603,1431.803279,978.3287671,529.8356163999999,483.9726027,465.68579230000006,897.0684932,1038.9589039999998
Oman,http://www.sciencekids.co.nz/images/pictures/flags96/Oman.jpg,746,781,816.2465753,861.2876712,893.3879781,909.9835616,905.8356164,916.0958904,974,917,901.7232877,825.3,756.4590164,782.3023288,745.6506438,716.4177123,762.7424344,817.7567616,869.4799342,890.5129123,923.3993087000001,944.7533781,950.4796411,988.9724247000001,1013.840568,978.3561643999999,986.5424658
Colombia,http://www.sciencekids.co.nz/images/pictures/flags96/Colombia.jpg,439,461,454.9342466,589.7986301,632.9644809,656.2589041,736.8383562,821.0246575,694.2765027,626.621,578.939726,544.547,532.7612566,530.6185644,539.5465534,538.1884959,596.1500109,683.6025562,799.4074877,932.0610685,962.5726502999999,1021.9915070000001,1007.892047,1023.013041,904.9508197,872.5753425,882.6575342
Indonesia,http://www.sciencekids.co.nz/images/pictures/flags96/Indonesia.jpg,1579,1589,1590.219178,1578.684932,1627.486339,1604.810959,1605.356164,1559.082192,1518.38,1421.616,1329.027397,1232.969863,1168.639344,1090.704723,1025.234493,975.9843397,1016.471052,1000.019548,1015.738441,983.2719205,955.4531749,922.4893562000001,886.697,847.0956438,929.6202186,894.6849315,872.2301369999999
India,,589,564,634.7123288,750.4520548,731.0245902,759.6246575,751.4219178,742.660274,739.2415301,745.3972603,782.9534247,785.3273973,806.6091503,783.5583808,810.715989,808.2310274,808.9125328,794.405011,869.3212493,904.4600603,899.2068142,895.5102932,888.0450219,882.9121342,872.4016392999999,873.4767122999999,867.6575342
Azerbaijan,,222,208,191.909589,182.0575342,181.9808743,179.9753425,237.0739726,282.9780822,286.0437158,307.1671233,313.8575342,323.7547945,315.4262295,438.7726027,645.5205479,846.8330466,873.918724,1010.013263,1038.68337,987.0465205,925.7040027,874.4229698999999,850.5188985999999,852.1692,837.5382513999999,794.6739726,802.4739726
